Geneid	SD1	SD2	SD3	TG1	TG3
ZN651G0336	458	476	555	411	272
ZN651G0337	11	36	22	13	11
ZN651G0338	1152	876	888	1317	1456
ZN651G0339	3121	6588	4274	13100	7632
ZN651G0340	748	998	1328	1974	772
ZN651G0341	34	152	203	50	100
ZN651G0342	578	557	561	352	359
ZN651G0343	34	81	65	625	30
ZN651G0344	0	2	0	0	0
ZN651G0345	25	47	25	26	32
ZN651G0346	51	86	114	5	5
ZN651G0347	11	25	70	129	19
ZN651G0348	0	0	1	3	0
ZN651G0349	0	0	0	0	0
ZN651G0350	57	91	140	88	151
ZN651G0351	113	125	119	118	103
ZN651G0352	1039	782	864	1445	1123
ZN651G0353	2	0	6	1	1
ZN651G0354	0	0	0	0	0
ZN651G0355	95	170	158	457	60
ZN651G0356	158	164	170	619	179
ZN651G0357	75	100	90	160	120
ZN651G0358	78	46	50	92	42
ZN651G0359	642	619	782	1651	672
ZN651G0360	0	0	1	1	0
ZN651G0361	54	164	106	80	86
ZN651G0362	604	805	714	2582	1350
ZN651G0363	318	624	531	581	480
ZN651G0364	0	0	0	0	2
ZN651G0365	0	0	0	0	0
ZN651G0366	0	1	0	1	0
ZN651G0367	0	0	0	0	0
ZN651G0368	0	0	0	1	1
ZN651G0369	0	0	0	0	0
ZN651G0370	1	1	1	15	2
ZN651G0371	0	34	9	135	8
ZN651G0372	0	0	0	1	0
ZN651G0373	6	14	31	67	17
ZN651G0374	3	1	0	176	3
ZN651G0375	7	0	2	217	132
ZN651G0376	0	0	0	0	0
ZN651G0377	746	1259	1045	1686	699
ZN651G0378	1466	1445	996	594	1124
ZN651G0379	3349	2375	3204	1786	1547
ZN651G0380	13	165	14	32	463
ZN651G0381	0	0	0	0	1
ZN651G0382	1	4	1	0	13
ZN651G0383	0	1	0	0	3
ZN651G0384	0	0	0	0	1
ZN651G0385	0	0	0	0	0
ZN651G0386	1	0	0	0	9
ZN651G0387	0	0	0	0	3
ZN651G0388	0	0	0	0	0
ZN651G0389	0	0	0	0	0
ZN651G0390	0	0	1	0	0
ZN651G0391	0	0	3	0	6
ZN651G0392	1	1	3	0	8
ZN651G0393	5	1	4	7	1
ZN651G0394	71	69	83	59	105
ZN651G0395	2332	1411	1500	896	5180
ZN651G0396	682	628	683	576	308
ZN651G0397	146	95	71	138	67
ZN651G0398	368	412	455	378	88
ZN651G0399	41	33	37	166	285
ZN651G0400	0	0	0	0	0
ZN651G0401	0	0	2	0	0
ZN651G0402	217	238	220	501	350
ZN651G0403	0	0	0	0	0
ZN651G0404	788	1204	1031	790	813
ZN651G0405	701	131	170	2	39
ZN651G0406	228	67	128	3	62
ZN651G0407	7699	4440	5040	1374	5624
ZN651G0408	3874	2554	3269	434	663
ZN651G0409	0	0	0	0	0
ZN651G0410	0	0	0	0	0
ZN651G0411	177	197	384	164	15
ZN651G0412	187	247	293	210	479
ZN651G0413	10	27	34	2	23
ZN651G0414	15	40	47	8	15
ZN651G0415	31	46	130	17	22
ZN651G0416	2	3	1	0	3
ZN651G0417	0	2	0	85	2
ZN651G0418	62	74	24	302	288
ZN651G0419	2	3	1	8	0
ZN651G0420	1	0	1	3	1
ZN651G0421	0	0	0	2	0
ZN651G0422	0	1	0	1	0
ZN651G0423	5	13	5	4	18
ZN651G0424	5	14	12	23	13
ZN651G0425	0	1	0	45	2
ZN651G0426	0	0	0	0	0
ZN651G0427	0	0	0	0	0
ZN651G0428	0	0	0	0	0
ZN651G0429	0	0	0	0	0
ZN651G0430	0	0	0	0	0
ZN651G0431	704	579	540	641	760
ZN651G0432	150	341	243	322	189
ZN651G0433	865	1298	924	2901	772
ZN651G0434	426	391	403	459	250
ZN651G0435	5	19	14	7	47
ZN651G0436	1251	533	630	251	2702
ZN651G0437	0	0	0	0	0
ZN651G0438	13	25	16	6	33
ZN651G0439	0	0	1	1	0
ZN651G0440	0	0	0	0	0
ZN651G0441	370	362	388	872	243
ZN651G0442	503	597	608	550	1601
ZN651G0443	74	112	86	45	15
ZN651G0444	33	69	76	9	8
ZN651G0445	765	804	647	707	415
ZN651G0446	9	17	24	43	24
ZN651G0447	5	7	6	12	4
ZN651G0448	1	2	2	67	2
ZN651G0449	0	0	0	0	0
ZN651G0450	327	278	236	59	720
ZN651G0451	1725	1609	1643	1024	586
ZN651G0452	32	50	33	7	10
ZN651G0453	14	39	29	54	50
ZN651G0454	15	18	14	27	5
ZN651G0455	109	80	56	86	61
ZN651G0456	118	159	156	15	243
ZN651G0457	6942	6596	8455	3004	5197
ZN651G0458	707	592	489	457	198
ZN651G0459	265	265	331	260	212
ZN651G0460	780	1313	990	531	1081
ZN651G0461	278	294	313	501	456
ZN651G0462	124	391	345	170	90
ZN651G0463	1	11	15	5	10
ZN651G0464	0	0	0	0	0
ZN651G0465	0	0	0	0	0
ZN651G0466	0	0	0	0	0
ZN651G0467	866	1307	1026	716	654
ZN651G0468	61	87	88	68	215
ZN651G0469	932	842	932	759	1091
ZN651G0470	0	0	0	0	0
ZN651G0471	0	0	0	0	0
ZN651G0472	636	420	267	595	1114
ZN651G0473	50	121	87	171	49
ZN651G0474	2	3	3	0	1
ZN651G0475	1	2	10	0	7
ZN651G0476	401	397	561	2110	3353
ZN651G0477	2	4	12	18	9
ZN651G0478	52	81	70	34	40
ZN651G0479	6	7	3	15	1
ZN651G0480	33	356	349	64	22
ZN651G0481	6	14	12	18	5
ZN651G0482	0	1	0	0	0
ZN651G0483	0	0	0	0	0
ZN651G0484	0	0	0	0	0
ZN651G0485	345	253	201	1093	140
ZN651G0486	0	0	0	0	0
ZN651G0487	397	528	506	459	364
ZN651G0488	124	215	132	1036	468
ZN651G0489	183	387	348	151	157
ZN651G0490	420	555	624	302	204
ZN651G0491	10641	8228	7722	3609	14959
ZN651G0492	225	177	108	306	44
ZN651G0493	202	290	225	147	91
ZN651G0494	0	0	0	0	0
ZN651G0495	126	171	125	2088	140
ZN651G0496	479	407	407	700	273
ZN651G0497	0	0	0	0	0
ZN651G0498	0	0	0	0	0
ZN651G0499	3	6	90	0	0
ZN651G0500	1535	3864	2666	636	971
ZN651G0501	46	49	86	296	71
ZN651G0502	176	140	217	136	7
ZN651G0503	275	368	328	304	270
ZN651G0504	48	120	100	182	37
ZN651G0505	0	0	0	0	0
ZN651G0506	50	106	187	136	69
ZN651G0507	513	324	330	296	235
ZN651G0508	2208	1627	2207	1352	984
ZN651G0509	1574	2591	3759	124	5479
ZN651G0510	155	304	462	118	77
ZN651G0511	19	35	30	39	33
ZN651G0512	19	7	15	3118	104
ZN651G0513	383	325	215	18	81
ZN651G0514	189	224	197	165	433
ZN651G0515	33	23	17	62	39
ZN651G0516	80	37	60	48	55
ZN651G0517	10	24	22	4	14
ZN651G0518	28	32	21	1	0
ZN651G0519	0	7	15	0	3
ZN651G0520	101	138	190	28	67
ZN651G0521	3	3	2	0	1
ZN651G0522	0	0	0	0	0
ZN651G0523	3	21	30	0	7
ZN651G0524	444	753	572	679	623
ZN651G0525	1	18	3	37	1
ZN651G0526	1	0	0	0	0
ZN651G0527	15	87	54	57	33
ZN651G0528	1153	2094	1569	1654	936
ZN651G0529	244	345	344	990	93
ZN651G0530	174	221	178	434	391
ZN651G0531	114	83	63	160	92
ZN651G0532	149	228	139	144	44
ZN651G0533	1040	800	1210	283	297
ZN651G0534	1	0	0	0	0
ZN651G0535	238	230	216	61	149
ZN651G0536	4	1	12	0	0
ZN651G0537	0	9	6	0	1
ZN651G0538	323	336	209	198	218
ZN651G0539	392	319	416	3	244
ZN651G0540	468	329	351	439	1232
ZN651G0541	1711	1597	2189	851	2403
ZN651G0542	587	1190	673	807	725
ZN651G0543	15	21	17	19	15
ZN651G0544	783	754	503	987	638
ZN651G0545	74	651	61	5184	6550
ZN651G0546	507	423	351	533	1623
ZN651G0547	215	233	228	2587	145
ZN651G0548	1	7	11	3	0
ZN651G0549	246	72	72	0	44
ZN651G0550	217	1069	700	189	333
ZN651G0551	16	28	28	74	59
ZN651G0552	0	0	0	0	0
ZN651G0553	42	120	123	78	33
ZN651G0554	14	38	23	100	39
ZN651G0555	1668	1453	1225	2706	4631
ZN651G0556	0	0	0	0	0
ZN651G0557	168	164	114	340	353
ZN651G0558	5	21	26	40	22
ZN651G0559	0	0	0	0	0
ZN651G0560	0	0	0	0	0
ZN651G0561	0	0	0	0	0
ZN651G0562	0	0	0	0	0
ZN651G0563	0	0	0	0	0
ZN651G0564	5	7	7	18	12
ZN651G0565	622	573	577	648	495
ZN651G0566	8	29	23	2	6
ZN651G0567	51	45	28	185	201
ZN651G0568	332	141	161	82	146
ZN651G0569	26365	55806	48194	24086	23351
ZN651G0570	122	577	180	130	438
ZN651G0571	6	2	6	6	4
ZN651G0572	0	0	0	0	0
ZN651G0573	993	2237	1096	828	1023
ZN651G0574	130	125	152	74	126
ZN651G0575	194	356	341	355	461
ZN651G0576	77	55	50	17	239
ZN651G0577	0	1	0	0	0
ZN651G0578	0	3	0	1	0
ZN651G0579	31	25	20	11	6
ZN651G0580	111	142	141	364	121
ZN651G0581	1	4	1	0	0
ZN651G0582	96	107	49	51	33
ZN651G0583	1977	1240	1584	956	537
ZN651G0584	136	252	298	48	45
ZN651G0585	6	18	8	4	1
ZN651G0586	140	190	180	198	111
ZN651G0587	1	5	0	40	67
ZN651G0588	502	981	771	686	974
ZN651G0589	0	0	0	0	0
